################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'reporter def ##ies white house rules with this one move ; internet hail ##s her a hero ( t ##wee ##ts )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08924818, 0.35964587, 0.3494211, 0.08416419, 0.035872027, 0.25252205, 0.36223173, 0.15466075, 0.093482584, -0.0015722811, 0.16915038, 0.084426716, 0.02722679, 0.028454065, 0.16735293, 0.22601858, 0.2636131, 0.22079776, 0.123193346, 0.12642924, -0.14600138, 0.026672587, 0.40447837]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : top do ##j official resign ##s , leaves damn ##ing letter exposing trump corruption'
GOLD SEQ: 	 b'breaking : top do ##j official resign ##s , leaves damn ##ing letter exposing trump corruption'
PRED SEQ:	 b'breaking : top do ##j official resign ##s , leaves letter exposing trump corruption'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.18579467, -0.20364955, -0.064201914, -0.37499416, -0.18849063, 0.015538886, 0.13477045, -0.10185987, -0.15927815, 0.09198467, 0.004562892, 0.13202791, 0.20837453, 0.2099016, 0.049878534, 0.21872541]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump family just received devastating news about their businesses ; this is pretty bad'
GOLD SEQ: 	 b'trump family just received devastating news about their businesses ; this is pretty bad'
PRED SEQ:	 b'trump family just received devastating news about their businesses ; this is pretty'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.40525392, -0.16718906, -0.14545779, -0.015190586, -0.019093044, -0.007867008, -0.128021, -0.46008888, -0.24762303, -0.33899754, -0.13392648, -0.06854425, -0.055788003, 0.01753382]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
GOLD SEQ: 	 b'the rock has officially filed his 2020 presidential campaign'
PRED SEQ:	 b'the rock has officially filed his 2020 presidential campaign'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06746778, 0.2462681, 0.21758007, 0.20199907, 0.13461253, 0.13706815, 0.20820868, 0.22317272, 0.122947626]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s non - reaction to nazis goes terribly wrong ( video )'
GOLD SEQ: 	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s non - reaction to nazis goes terribly wrong ( video )'
PRED SEQ:	 b'jeff sessions cr ##umble ##s as attempt to defend trump ##s non - reaction to nazis goes wrong ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18623634, 0.025957465, 0.18467014, 0.5346209, 0.20236635, 0.047128458, 0.10080942, -0.04517413, 0.12371053, 0.14637087, 0.16840684, 0.22481842, 0.25359896, 0.22687036, 0.10949176, 0.26925054, 0.36219925, 0.32090348, 0.22979534, 0.5029166, 0.6234226, 0.6688429]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump bail ##s on republicans , secretly begs democrats to help him win ( details )'
GOLD SEQ: 	 b'trump bail ##s on republicans , secretly begs democrats to help him win ( details )'
PRED SEQ:	 b'trump bail ##s on republicans , begs democrats to help him win ( details )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.040554512, 0.008561827, 0.09102036, -0.017893266, 0.041500777, 0.068673134, 0.02791205, -0.28855947, -0.082629345, 0.09021014, 0.077055946, -0.034558497, 0.033144515, 0.28877115, 0.43735623, 0.31081092]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'former d ##nc chair : russia may have installed trump with fa ##ls ##ified votes'
GOLD SEQ: 	 b'former d ##nc chair : russia may have installed trump with fa ##ls ##ified votes'
PRED SEQ:	 b'former d ##nc chair : russia may have installed trump with disputed votes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.187544, -0.10464184, -0.20013389, 0.11825269, -0.29727414, 0.18954307, 0.08782716, 0.2501296, -0.0082722455, -0.13502961, -0.14149778, -0.13923997, -0.15561278, -0.13139576, -0.15379733]
GOLD TOK: 	 []
PRED TOK: 	 [['disputed']]
################################################################################
IN SEQ: 	 b'breaking : lost documents res ##ur ##face to expose sick trump crime from 1983'
GOLD SEQ: 	 b'breaking : lost documents res ##ur ##face to expose sick trump crime from 1983'
PRED SEQ:	 b'breaking : lost documents res ##ur ##face to expose trump crime from 1983'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07623649, 0.084727354, 0.23388365, 0.10838437, 0.3119423, 0.31655574, 0.3213402, 0.3236951, 0.16691971, 0.11934653, 0.1840912, 0.15494582, 0.39892715, 0.26181668]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD SEQ: 	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
PRED SEQ:	 b"paris agreement ' s 1 . 5 ##c target ' only way ' to save coral reefs , says unesco"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.26508403, -0.124850616, -0.29251796, -0.1057307, -0.059456825, -0.37562996, -0.16403759, 0.09786719, -0.059450697, -0.10293251, -0.090806484, -0.08091799, -0.16475525, -0.17305994, 0.02298811, -0.10562986, -0.15492353, -0.16798337, -0.036380388, -0.09275271]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends ominous warning to rein ##ce pri ##eb ##us'
GOLD SEQ: 	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends ominous warning to rein ##ce pri ##eb ##us'
PRED SEQ:	 b'watch : scar ##am ##ucci flip ##s out over white house leaks , sends warning to rein ##ce pri ##eb ##us'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.138338, -0.08763881, -0.05017093, -0.036364704, 0.0152339935, -0.10986309, -0.1484312, -0.21906263, -0.17736807, 0.19228178, -0.025373116, 0.030728295, 0.11367565, 0.21291715, 0.23492052, 0.17980629, 0.07668459, -0.1637448, -0.007574111, -0.22530207, 0.07255414, -0.010143191]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'so i ran for congress : a sneak preview'
GOLD SEQ: 	 b'so i ran for congress : a sneak preview'
PRED SEQ:	 b'so , i ran for congress : a sneak preview'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3250512, -0.37061465, -0.29517326, -0.326253, -0.25436643, -0.2250579, 0.16828407, 0.06633026, 0.08700149]
GOLD TOK: 	 []
PRED TOK: 	 [[',']]
################################################################################
IN SEQ: 	 b"the deadly folly of the next afghan ' surge '"
GOLD SEQ: 	 b"the deadly folly of the next afghan ' surge '"
PRED SEQ:	 b"the folly of the next afghan ' surge '"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09790112, 0.26090452, 0.10762146, 0.17456755, 0.27664354, -0.114142604, -0.01709012, 0.11641866, -0.17513704, -0.09568706]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cnn ##s jake tap ##per perfectly rip ##s apart trump ##s lies about fake news ( video )'
GOLD SEQ: 	 b'cnn ##s jake tap ##per perfectly rip ##s apart trump ##s lies about fake news ( video )'
PRED SEQ:	 b'cnn ##s jake tap ##per rip ##s apart trump ##s lies about fake news ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.06718159, -0.0710644, 0.049891964, -0.111741945, -0.17503619, -0.0022137687, -0.14152354, -0.23445365, 0.110257044, 0.023112252, 0.05227071, 0.07971679, 0.08636662, -0.05604618, -0.0055426955, -0.06656793, 0.05193147, 0.028020665]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'multiple reports indicate the 2016 election results were likely rigged ( video )'
GOLD SEQ: 	 b'multiple reports indicate the 2016 election results were likely rigged ( video )'
PRED SEQ:	 b'multiple reports indicate the 2016 election results were rigged ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.4776372, 0.28656104, 0.38523716, 0.4195603, 0.42841494, 0.34795105, 0.06477529, 0.23118608, 0.27367947, 0.21396294, -0.036040332, 0.2827855, 0.5047961]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : officials admit ho ##rri ##fying truth about russian hacking , this is what trump is hiding .'
GOLD SEQ: 	 b'breaking : officials admit ho ##rri ##fying truth about russian hacking , this is what trump is hiding .'
PRED SEQ:	 b'breaking : officials admit the truth about russian hacking , this is what trump is hiding .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2511803, -0.2865249, -0.18974596, -0.105214074, 0.10309313, 0.16630773, 0.12255867, 0.21305099, 0.04709291, -0.111613706, -0.35002586, -0.14872962, -0.14876176, 0.10074341, 0.09450524, -0.57665753, -0.21695061, -0.2606867, -0.22676751]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
GOLD SEQ: 	 b'a federal court just ruined trump ##s chance of destroying the environment'
PRED SEQ:	 b'a federal court just ruined trump ##s chance of destroying the environment'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.03540582, 0.20848961, 0.031641763, 0.07765243, 0.31289682, -0.048900377, -0.12632762, -0.13461815, -0.085277885, -0.007821128, 0.07482663, 0.10025549]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sanders coward ##ly refuses to answer simple question about trump ##s racism ( video )'
GOLD SEQ: 	 b'sanders coward ##ly refuses to answer simple question about trump ##s racism ( video )'
PRED SEQ:	 b'sanders refuses to answer simple question about trump ##s racism ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06720577, 0.024370879, 0.20392045, 0.0070849657, 0.3010245, 0.20162156, 0.05868399, 0.16790928, 0.0875521, -0.23407328, -0.3359458, 0.14800158, 0.24087748, 0.3896238, 0.45949185]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal in white house'
GOLD SEQ: 	 b'breaking : sean spice ##r resign ##s amidst ongoing scandal in white house'
PRED SEQ:	 b'breaking : sean spice ##r resign ##s amidst ongoing position in white house'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.015778854, 0.072767735, -0.011088669, -0.12974614, -0.029755406, -0.10030849, -0.07897896, 0.10952523, 0.18208367, 0.17311597, 0.07904378, 0.036924254, -0.15630555]
GOLD TOK: 	 []
PRED TOK: 	 [['position']]
################################################################################
IN SEQ: 	 b'criminal : indiana go ##p makes ho ##rri ##fying move to steal elections'
GOLD SEQ: 	 b'criminal : indiana go ##p makes ho ##rri ##fying move to steal elections'
PRED SEQ:	 b'criminal : indiana go ##p makes move to steal elections'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1579421, -0.16265373, -0.13942295, -0.13075244, 0.061168306, -0.00972715, 0.21532385, 0.23023248, 0.2683843, 0.3647964, 0.2754833, 0.10392055, 0.0065798014]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD SEQ: 	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
PRED SEQ:	 b'u . s . job growth accelerate ##s ; guess what president made that happen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.059500597, 0.13146141, 0.09816139, 0.04434774, 0.07090473, 0.15829042, 0.14129865, 0.21680152, -0.049625695, -0.006568715, 0.14470074, 0.3286454, 0.3552089, 0.24106021, 0.1200185]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'judge stands up to cry baby neo - nazi leader charles can ##t ##well after he is taken into custody'
GOLD SEQ: 	 b'judge stands up to cry baby neo - nazi leader charles can ##t ##well after he is taken into custody'
PRED SEQ:	 b'judge stands up to cry'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20007971, -0.13065611, -0.08901383, 0.07770011, -0.021092162, 0.2148632, 0.52569413, 0.5108558, 0.52703655, 0.4881671, 0.33691338, 0.106487535, 0.036540538, 0.219368, 0.3762443, 0.37715036, 0.48154575, 0.6174811, 0.14129815, 0.4527561]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
GOLD SEQ: 	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
PRED SEQ:	 b'watch : artist expose ##s trump jr . s corruption in a hot new song its shocking ##ly good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.023097575, 0.02252838, 0.004394114, 0.028665483, -0.027446657, -0.11862801, -0.19679849, 0.2454918, 0.061631132, 0.16943026, 0.22229043, -0.061541334, -0.19280261, -0.141165, 0.12382825, 0.11374845, -0.0046396106, 0.21048507, 0.10690367]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump jr . makes amateur faux pas like a buff ##oon & gets his a * * handed to him'
GOLD SEQ: 	 b'trump jr . makes amateur faux pas like a buff ##oon & gets his a * * handed to him'
PRED SEQ:	 b'trump jr . makes faux pas like a buff ##oon & gets his a * * handed to him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.33036548, 0.26798996, 0.553707, 0.20641951, 0.07172795, 0.10346235, 0.12252174, 0.5066636, 0.3119844, 0.19233711, 0.23228, 0.33145833, 0.103646606, -0.106061995, 0.04037881, -0.10640705, -0.13670048, 0.025965318, 0.025775798, 0.1692653]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'paul ryan desperately searches for a new focus amid russia scandal ; becomes white house fashion adviser'
GOLD SEQ: 	 b'paul ryan desperately searches for a new focus amid russia scandal ; becomes white house fashion adviser'
PRED SEQ:	 b'paul ryan searches for a new focus amid russia scandal ; becomes white house fashion adviser'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.10470253, -0.08112589, -0.07321586, -0.056684196, -0.045853183, 0.09386047, 0.17824894, 0.10634433, 0.043368183, 0.08638767, 0.16407168, -0.21552464, 0.061485186, 0.14533508, -0.06781609, 0.1416514, 0.1665445]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump brothers just went after the media and it major ##ly back ##fires'
GOLD SEQ: 	 b'trump brothers just went after the media and it major ##ly back ##fires'
PRED SEQ:	 b'trump brothers just went after the media and it major ##ly back ##fires'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.10696799, -0.16731744, -0.14197491, 0.14509687, -0.07906884, 0.22658661, -0.107953615, 0.21446885, 0.19795007, 0.18019958, 0.3579367, 0.18508047, 0.021035664]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'michelle obama just res ##ur ##face ##d to show mel ##ania how a real first lady acts'
GOLD SEQ: 	 b'michelle obama just res ##ur ##face ##d to show mel ##ania how a real first lady acts'
PRED SEQ:	 b'michelle obama res ##ur ##face ##d to show mel ##ania how a real first lady acts'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04403867, 0.15447533, 0.28354594, 0.16082758, 0.09544258, 0.2445412, 0.38405743, 0.4986876, 0.33525574, 0.20228228, 0.5134787, 0.2028237, -0.0011435077, -0.043718837, 0.26277277, 0.052607186, 0.046968043]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just finally t ##wee ##ted about purple heart day and it will surely piss you off'
GOLD SEQ: 	 b'trump just finally t ##wee ##ted about purple heart day and it will surely piss you off'
PRED SEQ:	 b'trump just t ##wee ##ted about purple heart day and it will surely piss you off'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09600097, 0.18021521, 0.103964746, 0.0071786195, -0.055989414, 0.0364774, -0.11144856, 0.18983899, 0.14534296, 0.23649254, 0.4195618, 0.42819643, 0.3738095, 0.5042986, 0.19504187, 0.07602362, 0.4977373]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
